Country,Last 3 months Clicks,Same period last year Clicks,Last 3 months Impressions,Same period last year Impressions,Last 3 months CTR,Same period last year CTR,Last 3 months Position,Same period last year Position
United Kingdom,56,256,6089,5933,0.92%,4.31%,14,14.54
United States,26,247,5469,11812,0.48%,2.09%,16.46,22.94
Canada,20,102,1256,1507,1.59%,6.77%,12.08,13.7
Germany,17,61,471,954,3.61%,6.39%,11.56,17.93
Australia,14,160,1733,1929,0.81%,8.29%,12.02,8.07
Italy,10,56,1258,1559,0.79%,3.59%,14.78,13.28
France,8,24,262,519,3.05%,4.62%,9.45,21.44
Ireland,7,37,611,690,1.15%,5.36%,13.86,11.08
Serbia,6,2,330,79,1.82%,2.53%,7.22,21.68
Poland,6,7,156,211,3.85%,3.32%,8.61,19.21
Norway,6,10,126,165,4.76%,6.06%,16.41,7.71
Netherlands,5,26,254,361,1.97%,7.2%,9.35,16.2
Spain,5,24,218,411,2.29%,5.84%,10.34,17.87
Belgium,5,15,137,185,3.65%,8.11%,10.26,9.18
Switzerland,4,23,159,249,2.52%,9.24%,10.21,7.13
New Zealand,3,10,169,174,1.78%,5.75%,13.14,10.04
Macedonia,3,1,66,22,4.55%,4.55%,7.79,12.5
Sweden,2,16,174,318,1.15%,5.03%,9.02,11.4
Denmark,2,22,157,227,1.27%,9.69%,14.12,6.8
Slovakia,1,3,98,49,1.02%,6.12%,9.08,15.04
India,1,6,97,875,1.03%,0.69%,29.54,36.88
Greece,1,11,91,208,1.1%,5.29%,13.49,11.47
Singapore,1,11,88,210,1.14%,5.24%,32.97,22.33
Finland,1,4,81,96,1.23%,4.17%,8.98,10.98
South Africa,1,7,79,236,1.27%,2.97%,13.28,27.88
Malta,1,7,72,86,1.39%,8.14%,13.29,10.93
Slovenia,1,7,50,96,2%,7.29%,8.56,6.64
Turkey,1,2,49,285,2.04%,0.7%,14.14,31.39
Israel,1,4,42,77,2.38%,5.19%,16.52,17.58
Czechia,1,2,37,60,2.7%,3.33%,9.08,20.3
Qatar,1,2,18,16,5.56%,12.5%,35.39,25.12
Georgia,1,2,16,47,6.25%,4.26%,5.12,16
Venezuela,1,0,6,76,16.67%,0%,18.33,34.55
Guatemala,1,0,3,16,33.33%,0%,10,22.31
Argentina,0,0,152,346,0%,0%,13.03,29.36
Austria,0,8,115,175,0%,4.57%,10.1,9.49
Croatia,0,14,102,204,0%,6.86%,7.46,7.34
Brazil,0,4,101,3784,0%,0.11%,22.65,37.79
Thailand,0,5,93,92,0%,5.43%,34.25,21.07
Russia,0,1,85,925,0%,0.11%,10.55,34.14
Mexico,0,2,80,352,0%,0.57%,15.34,35.73
Portugal,0,9,70,165,0%,5.45%,8.97,12.99
Hong Kong,0,3,70,79,0%,3.8%,12.16,16.13
Romania,0,6,53,134,0%,4.48%,10.28,15.63
Chile,0,1,53,91,0%,1.1%,10.38,32.21
United Arab Emirates,0,6,40,82,0%,7.32%,32.62,23.7
Hungary,0,5,37,108,0%,4.63%,8.92,15.67
Philippines,0,2,31,243,0%,0.82%,15.45,34.37
Egypt,0,0,30,110,0%,0%,22.17,32.29
Bulgaria,0,2,27,81,0%,2.47%,13.15,24.27
Malaysia,0,3,27,194,0%,1.55%,26.48,34.17
Vietnam,0,1,25,652,0%,0.15%,17.16,34.77
Indonesia,0,2,24,253,0%,0.79%,15.33,34.02
Japan,0,0,22,172,0%,0%,7.95,34.8
Uruguay,0,1,22,67,0%,1.49%,13.86,23.52
Saudi Arabia,0,1,22,111,0%,0.9%,37.45,34.98
South Korea,0,0,21,552,0%,0%,19.24,33.52
Colombia,0,0,19,153,0%,0%,10.58,34.67
Bosnia & Herzegovina,0,4,17,37,0%,10.81%,5.12,18.11
Albania,0,4,17,26,0%,15.38%,7.29,17.92
Estonia,0,3,15,41,0%,7.32%,6.93,9.49
Morocco,0,0,13,117,0%,0%,9.08,35.26
Cyprus,0,2,13,56,0%,3.57%,9.85,15.7
Bangladesh,0,1,13,103,0%,0.97%,12.38,39.37
Costa Rica,0,1,12,23,0%,4.35%,4.83,21.13
Puerto Rico,0,4,12,28,0%,14.29%,12.17,15.75
Peru,0,0,11,69,0%,0%,5.91,36.68
Lithuania,0,1,11,65,0%,1.54%,8.09,20.77
Iceland,0,1,10,20,0%,5%,8.6,17.75
Latvia,0,1,10,37,0%,2.7%,9.7,23.35
Armenia,0,0,9,12,0%,0%,7.89,19.08
Guernsey,0,0,8,3,0%,0%,4.75,6.67
Tunisia,0,2,8,78,0%,2.56%,5,38.64
Trinidad & Tobago,0,0,8,67,0%,0%,5.5,42.58
Nigeria,0,0,8,36,0%,0%,6.38,16
Pakistan,0,0,8,113,0%,0%,10.88,36.89
China,0,0,8,3,0%,0%,13,7.33
Isle of Man,0,0,7,1,0%,0%,3.43,31
Ecuador,0,0,7,176,0%,0%,6.57,40.21
Ukraine,0,0,7,170,0%,0%,7.71,33.78
Lebanon,0,1,7,20,0%,5%,8.57,18.85
Taiwan,0,5,7,159,0%,3.14%,10.86,33.14
Azerbaijan,0,0,6,22,0%,0%,6.33,40.18
Honduras,0,0,6,13,0%,0%,6.33,41.62
Kazakhstan,0,0,6,40,0%,0%,6.83,30.25
Paraguay,0,0,6,54,0%,0%,8.67,37.83
Luxembourg,0,3,6,19,0%,15.79%,9.33,12.26
Oman,0,0,6,13,0%,0%,18.17,33.38
U.S. Virgin Islands,0,0,5,0,0%,0%,1,0
Cayman Islands,0,0,5,0,0%,0%,7.4,0
Côte d’Ivoire,0,0,5,11,0%,0%,9,28.82
Algeria,0,0,5,44,0%,0%,27.8,36.3
Kenya,0,0,4,40,0%,0%,6.25,34.58
Mauritius,0,0,4,5,0%,0%,8.5,34.6
Ethiopia,0,0,4,14,0%,0%,15,28.64
Dominican Republic,0,0,4,50,0%,0%,16.5,40.62
Kuwait,0,0,4,22,0%,0%,34,20.77
Jersey,0,1,3,5,0%,20%,2.33,4
Nepal,0,0,3,42,0%,0%,5,43.38
Benin,0,0,3,2,0%,0%,5.67,21
Gibraltar,0,0,3,0,0%,0%,6,0
Jordan,0,0,3,39,0%,0%,7.33,38.49
Iran,0,0,3,94,0%,0%,9,32.95
Barbados,0,0,3,37,0%,0%,10,42.51
Congo - Kinshasa,0,0,2,3,0%,0%,1,60.33
Uganda,0,0,2,6,0%,0%,1,38.67
Bahamas,0,0,2,7,0%,0%,3.5,33.57
Kosovo,0,0,2,3,0%,0%,4.5,14.33
Réunion,0,0,2,2,0%,0%,5,49
Andorra,0,0,2,1,0%,0%,7,10
Bolivia,0,0,2,22,0%,0%,11,30.82
Nicaragua,0,0,2,3,0%,0%,20.5,3.33
Guyana,0,0,2,4,0%,0%,22.5,44.75
Afghanistan,0,1,1,2,0%,50%,1,4
Antigua & Barbuda,0,0,1,0,0%,0%,1,0
Dominica,0,0,1,1,0%,0%,1,30
Myanmar (Burma),0,0,1,18,0%,0%,1,32.28
Montenegro,0,0,1,3,0%,0%,1,29
San Marino,0,0,1,0,0%,0%,2,0
Moldova,0,0,1,9,0%,0%,3,20.67
Turks & Caicos Islands,0,0,1,0,0%,0%,4,0
Curaçao,0,0,1,8,0%,0%,6,49.75
Sri Lanka,0,0,1,15,0%,0%,6,30.6
Cuba,0,0,1,1,0%,0%,7,40
Seychelles,0,0,1,2,0%,0%,8,13
Bermuda,0,0,1,3,0%,0%,9,29.67
Djibouti,0,0,1,0,0%,0%,9,0
Jamaica,0,0,1,43,0%,0%,9,44.53
Mozambique,0,0,1,1,0%,0%,9,41
Panama,0,1,1,21,0%,4.76%,9,30.62
Suriname,0,0,1,1,0%,0%,9,37
Faroe Islands,0,0,1,0,0%,0%,10,0
Ghana,0,0,1,10,0%,0%,10,28
Macau,0,0,1,2,0%,0%,11,20
Tanzania,0,0,1,1,0%,0%,12,2
Zambia,0,0,1,2,0%,0%,12,34
Libya,0,0,1,5,0%,0%,13,36.6
Unknown Region,0,1,1,49,0%,2.04%,13,37.41
Cambodia,0,0,1,14,0%,0%,14,25.57
Belize,0,0,1,5,0%,0%,15,50.2
Bahrain,0,0,1,19,0%,0%,17,44.84
Iraq,0,0,1,91,0%,0%,24,37.89
Madagascar,0,0,1,2,0%,0%,24,75
Maldives,0,0,1,2,0%,0%,36,38.5
Namibia,0,1,0,2,0%,50%,0,7.5
Uzbekistan,0,0,0,63,0%,0%,0,37.19
Belarus,0,0,0,44,0%,0%,0,40.18
Palestine,0,0,0,20,0%,0%,0,33.5
El Salvador,0,0,0,11,0%,0%,0,26.45
Senegal,0,0,0,11,0%,0%,0,39.27
Kyrgyzstan,0,0,0,7,0%,0%,0,32
Zimbabwe,0,0,0,7,0%,0%,0,42
Angola,0,0,0,5,0%,0%,0,29
Botswana,0,0,0,4,0%,0%,0,20
Cameroon,0,0,0,4,0%,0%,0,39.25
St. Vincent & Grenadines,0,0,0,4,0%,0%,0,40
Syria,0,0,0,4,0%,0%,0,48
Cape Verde,0,0,0,4,0%,0%,0,50.5
Monaco,0,0,0,3,0%,0%,0,5.33
Gabon,0,0,0,3,0%,0%,0,15.67
Turkmenistan,0,0,0,3,0%,0%,0,33
Mongolia,0,0,0,3,0%,0%,0,33.67
St. Lucia,0,0,0,3,0%,0%,0,35
Grenada,0,0,0,3,0%,0%,0,40.67
St. Kitts & Nevis,0,0,0,3,0%,0%,0,48
Mali,0,0,0,2,0%,0%,0,3
Mauritania,0,0,0,2,0%,0%,0,8.5
Papua New Guinea,0,0,0,2,0%,0%,0,22
Somalia,0,0,0,2,0%,0%,0,25.5
Malawi,0,0,0,2,0%,0%,0,28
Sint Maarten,0,0,0,2,0%,0%,0,35
Yemen,0,0,0,2,0%,0%,0,37
Rwanda,0,0,0,2,0%,0%,0,49
Burkina Faso,0,0,0,2,0%,0%,0,64.5
South Sudan,0,0,0,1,0%,0%,0,3
Greenland,0,0,0,1,0%,0%,0,4
Åland Islands,0,0,0,1,0%,0%,0,19
Togo,0,0,0,1,0%,0%,0,24
Gambia,0,0,0,1,0%,0%,0,32
Laos,0,0,0,1,0%,0%,0,32
French Guiana,0,0,0,1,0%,0%,0,39
British Virgin Islands,0,0,0,1,0%,0%,0,39
Guam,0,0,0,1,0%,0%,0,41
Brunei,0,0,0,1,0%,0%,0,42
Tajikistan,0,0,0,1,0%,0%,0,44
Anguilla,0,0,0,1,0%,0%,0,60
Sudan,0,0,0,1,0%,0%,0,65
Martinique,0,0,0,1,0%,0%,0,81
Congo - Brazzaville,0,0,0,1,0%,0%,0,87
Fiji,0,0,0,1,0%,0%,0,89